name,category,price,total_views,total_carts,total_orders
Cross-group actuating support,Home,1476.11,17,18,1
Mandatory 3rdgeneration product,Electronics,2027.86,16,11,1
Organic global migration,Home,2338.12,14,21,1
Distributed explicit superstructure,Clothing,4221.74,13,12,1
Synergistic well-modulated core,Home,1480.7,13,5,1
Intuitive stable secured line,Clothing,3785.34,12,12,1
Quality-focused heuristic architecture,Electronics,166.66,12,9,1
Stand-alone client-server data-warehouse,Sports,1766.55,12,10,1
Team-oriented modular solution,Books,1198.86,11,14,1
Virtual local adapter,Home,831.66,10,17,1
